node_id,node,label,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate
13982,mymarchon.com,3,1053744.0,6.0,378.0,50.0,0.067
13983,falmouthoutlook.com,3,5176361.0,1.0,367.7,25.0,0.4941
13984,philosophybasics.com,3,206367.0,1.3,180.0,365.0,0.769
13985,blockchainsensei.com,3,706324.0,1.2,147.0,2.0,0.75
13986,burtonting.blogspot.com,3,4914464.0,1.0,37.0,16.5,0.7365999999999999
13987,nutennis.com,3,4562934.6,2.04,178.2,2.0,0.3802
13988,ryandueck.com,3,8811951.0,1.0,146.2,9.0,0.7322
13989,thesanghakommune.org,3,2988910.0,1.0,143.6,41.0,0.5064
13990,reformparty.org,3,1762899.0,3.0,123.0,235.0,0.7943999999999999
13991,strengthcamp.co,3,926753.0,1.1,85.0,42.0,0.826
13992,wsplradio.com,3,1069376.0,2.0,238.0,2.0,0.765
13993,incels.me,3,3635671.0,1.0,216.0,47.0,0.541
13994,verizonprotests.com,3,6269570.0,1.0,169.2,17.0,0.6018000000000001
13995,kibbutzprogramcenter.net,3,8158227.0,2.0,137.4,3.0,0.625
13996,marketwatch.com,2,366.0,2.05,195.0,25351.0,0.635
13997,holmespto.com,3,6698643.0,1.0,150.6,6.0,0.7022
13998,japantimes.co.jp,2,3576.0,1.9,136.0,11315.0,0.663
13999,gracelovelife.com,3,1011161.0,2.0,89.0,111.0,0.778
14000,wikimedia.org.uk,3,3826538.0,1.0,82.0,55.0,0.755
14001,theestablishment.co,2,705450.0,1.4,67.0,323.0,0.75
14002,plaghunter.com,3,635706.0,2.5,88.0,86.0,0.657
14003,rochesterfirst.com,3,128285.0,1.4,111.0,265.0,0.775
14004,prayerscapes.com,3,1033869.0,2.1,143.0,91.0,0.889
14005,goldenfs.org,3,1021856.0,2.0,157.0,20.0,0.625
14006,tiaa.org,3,18160.0,4.4,231.0,182.0,0.27
14007,stratanetworks.com,3,1269248.0,2.0,160.0,20.0,0.5
14008,nextgenerations.org,3,3058315.0,3.0,166.66666666666666,8.0,0.6073
14009,polquiz.com,3,1857606.0,3.0,285.0,19.0,0.4455
14010,anton-shekhovtsov.blogspot.com,3,5925134.5,1.5,192.4,64.0,0.5302
14011,thepatriotsreport.com,3,2474691.0,1.0,125.4,4.0,0.6262000000000001
14012,clublez.com,3,1462360.0,1.0,34.0,169.0,0.588
14013,walesonline.co.uk,3,21160.0,1.7,145.0,4517.0,0.776
14014,congressweb.com,3,1010419.0,2.0,72.0,301.0,0.4
14015,noblesoul.com,3,325555.5,2.0,143.0,226.0,0.6625
14016,strikersunited.com,3,6049389.4,1.0,163.9,27.0,0.6103999999999999
14017,class-pr.com,3,342258.0,1.3,88.0,9.0,0.736
14018,wrmea.org,3,1333139.0,1.0,114.0,440.0,0.882
14019,whatdoesntsuck.com,3,7153479.0,1.0,232.66666666666669,9.0,0.7064333333333332
14020,emeraldcityjournal.com,3,7573115.0,1.0,132.0,24.0,0.611
14021,clanmacduff.org,3,2044870.3333333333,2.8,113.0,21.0,0.6449999999999999
14022,mynelson.com,3,86006.0,4.5,191.0,61.0,0.124
14023,sclgroup.com,3,4695040.233333333,1.9133333333333333,110.2,6.0,0.5288
14024,americaisachristiannation.com,3,7441806.533333334,1.8,102.2,3.0,0.6106
14025,experian.com,3,3471.0,6.16,268.0,4574.0,0.262
14026,newyorkforeclosureblog.wordpress.com,3,2573653.6,1.72,123.6,40.0,0.5642
14027,pharmainbrief.com,3,3435534.0,1.0,216.8,3.0,0.7714000000000001
14028,glasgowtimes.co.uk,3,230914.0,1.1,90.0,52.0,0.787
14029,nlsacpc.com,3,3772596.5,2.2,190.3,18.0,0.5899
14030,nofarnews.com,3,4971638.0,1.6,135.5,1.0,0.7586
14031,mayoclinic.org,3,924.0,1.35,137.0,14524.0,0.783
14032,dailysignal.com,1,60752.0,1.3,135.0,2398.0,0.784
14033,mcponj.org,3,3284774.6666666665,2.5,81.0,29.0,0.7236
14034,lansingstatejournal.com,3,128132.0,1.4,102.0,1500.0,0.723
14035,doomsday-prophecies.blogspot.com,3,4126351.5,1.0,195.33333333333334,16.0,0.5725999999999999
14036,extranewsfeed.com,1,156095.0,1.3,128.0,53.0,0.642
14037,cqmoneyline.com,3,2094827.0,1.0,109.0,7.0,0.909
14038,judaism.is,3,5120322.0,2.0,226.2,21.0,0.7903
14039,aeclectic.net,3,273810.0,3.3,176.0,913.0,0.5
14040,diggingtoroam.com,3,7211323.666666667,1.0,109.21666666666667,6.0,0.7642333333333334
14041,falmouthchamber.com,3,2317266.25,2.333333333333333,138.66666666666666,98.0,0.728
14042,statisticssolutions.com,3,40339.0,1.2,111.0,273.0,0.839
14043,brenthecht.com,3,4138392.0,1.0,176.5,41.0,0.5904
14044,caperb.com,3,4063628.5,3.5,186.6,11.0,0.6927999999999999
14045,xceleratesolutions.com,3,3247594.0,1.0,198.0,2.0,0.6
14046,communityaction.org,3,3387424.0,1.0,407.2,41.0,0.43019999999999997
14047,biblestudytools.com,3,4907.0,1.84,164.0,4045.0,0.694
14048,jimengster.com,3,6871397.0,1.0,108.0,14.0,0.8154
14049,socialismconference.org,3,6086315.0,1.0,175.53333333333333,76.0,0.5998
14050,naomiindahsari.wordpress.com,3,8642229.0,1.0,128.0,18.6,0.842
14051,noanswersingenesis.org.au,3,4114330.0,2.0,128.6,131.0,0.6721999999999999
14052,bigjolly.com,3,2543966.0,1.0,241.3,25.0,0.7217666666666667
14053,eatonvance.com,3,486765.0,2.0,182.0,177.0,0.553
14054,xn--sinnimo-n0a.es,3,87699.0,1.5,128.0,100.0,0.599
14055,bbcwatch.org,3,5197444.5,1.3333333333333333,173.4,114.0,0.8634000000000001
14056,molonlabemedia.com,0,4978585.0,1.0,133.8,12.0,0.5720000000000001
14057,viralusfortrump.com,3,6542630.6,1.1,237.1333333333333,10.0,0.6377
14058,groverforsenate.com,3,4562934.6,2.04,178.2,2.0,0.3802
14059,methodandclass.com,3,1463223.0,1.0,33.0,21.0,0.821
14060,constitutionland.com,3,4971638.0,1.6,135.5,1.0,0.7586
14061,spirilution.com,3,2644994.0,2.0,41.0,5.0,0.5245
14062,hometownsoundsdc.com,3,2064669.1,1.6800000000000002,152.4,11.0,0.6518
14063,yachana.org,3,617358.0,1.6,174.0,99.0,0.629
14064,familyequality.org,3,793966.0,2.1,108.0,266.0,0.636
14065,marriedbyhisgrace.com,3,1256387.0,2.0,204.0,26.0,0.8173333333333334
14066,13wham.com,3,51736.0,1.7,121.0,1068.0,0.595
14067,nepatriotsstoreonline.com,3,7441806.533333334,1.8,102.2,3.0,0.6106
14068,specialconservativenews.com,3,4898384.0,2.0,156.4,3.0,0.46020000000000005
14069,thenationalpatriot.com,0,1875328.0,1.0,136.0,103.0,0.5635
14070,minelens.com,3,3953436.0,1.0,146.2,3.0,0.4184
14071,theoldcontinent.eu,3,7441806.533333334,1.8,102.2,3.0,0.6106
14072,fischerandcompany.ca,3,4606788.0,1.5,79.0,8.0,0.733
14073,fordivers.com,3,4093352.0,1.0,130.3,40.0,0.64255
14074,octachat.com,3,1522679.0,2.0,149.0,40.0,0.5
14075,nam.ac.uk,3,278724.0,1.2,172.0,464.0,0.761
14076,coolmath-games.com,3,17205.0,2.0,155.0,1984.0,0.212
14077,tiber.su,3,4478897.0,5.0,991.0,16.0,0.7182499999999999
14078,azpenngirl.com,3,6620900.0,2.0,114.8,2.0,0.6574
14079,hwdsb.on.ca,3,128328.0,2.7,131.0,388.0,0.392
14080,themonti.org,3,5792741.0,3.0,221.8,39.0,0.5382
14081,deutschland-oel.de,3,8520178.0,1.0,117.9,2.0,0.6869
14082,thailandnews.co,3,1940664.0,1.0,65.0,32.0,0.692
14083,renthub.in.th,3,56400.0,6.7,553.0,106.0,0.341
14084,mtnhome.net,3,8014463.0,1.0,155.4,25.0,0.49000000000000005
14085,canslerconsulting.com,3,4479243.4,1.5,621.6,4.0,0.7118
14086,sec.co.uk,3,2698614.0,2.0,93.0,44.0,0.75
14087,erieelectionresults.com,3,4479243.4,1.5,621.6,4.0,0.7118
14088,cornell.edu,3,2372.0,2.92,189.0,57801.0,0.596
14089,jewinthecity.com,3,540395.0,2.0,175.0,109.0,0.593
14090,levelbash.com,3,2239099.0,1.0,127.0,24.0,0.5367999999999999
14091,revisionist.net,3,5321555.0,1.0,192.3,88.0,0.6050000000000001
14092,popupmagazine.com,3,1049245.0,1.0,97.0,87.0,0.467
14093,alternative-to-cable.com,3,1954690.0,2.0,102.0,3.0,0.8
14094,speed.com,3,4562421.0,1.0,164.9,79.0,0.6871
14095,fleming.foundation,3,1096359.0,1.0,81.0,8.0,0.714
14096,eratokhabar.com,3,286615.0,6.7,831.0,71.0,0.325
14097,highgrovegardens.com,3,1116305.0,2.0,74.0,49.0,0.8200000000000001
14098,powerhour.info,3,3107502.0,1.0,95.5,3.0,0.6396000000000001
14099,hurlock1.wordpress.com,3,5458122.4,1.06,108.6,28.0,0.6289
14100,greentreemedic.com,3,5267248.0,6.0,453.0,21.0,0.6736
14101,theconstitutionuchishiba11.weebly.com,3,1765738.0,2.0,44.0,11.0,0.8168000000000001
14102,grunnegers.nl,3,4562934.6,2.04,178.2,2.0,0.3802
14103,evertype.com,3,4104912.0,1.0,110.13333333333333,606.0,0.6859999999999999
14104,hmetro.com.my,3,12408.0,2.64,253.0,10461.0,0.588
14105,fightliberals.com,3,2323062.6,1.54,187.0,52.0,0.7302000000000002
14106,larrybecraft.org,3,5622174.5,1.5,101.05,2.0,0.7229
14107,lifelivinghealth.com,3,11283.0,4.09,358.0,1.0,0.344
14108,europeanfreedom.com,3,2574448.0,1.0,197.8,276.0,0.6426000000000001
14109,davidjeremiah.org,3,273124.0,1.5,132.0,388.0,0.64
14110,vladvisors.com,3,830840.0,2.4,212.0,32.0,0.419
14111,threepercenternation.com,3,657224.0,1.4,134.0,134.0,0.531
14112,lymenet.org,3,4748599.0,1.0,281.5,283.0,0.6345000000000001
14113,vanillajava.blogspot.com,3,5567466.0,1.0,101.2,47.0,0.6261
14114,ronproject.com,3,176853.0,1.1,123.0,67.0,0.884
14115,crystalmethaddiction.org,3,2427736.5,1.0,88.0,5.0,0.852
14116,pacificnewscenter.com,3,1900042.75,1.5333333333333332,195.66666666666663,299.0,0.5763333333333334
14117,pride-color-schemes.tumblr.com,3,2879816.0,1.0,126.4,1.0,0.6609999999999999
14118,changemakers.com,3,79730.0,2.8,171.0,954.0,0.473
14119,caj.ca,3,1693334.0,2.0,158.0,222.0,0.806
14120,freedomlawschool.org,3,4695040.233333333,1.9133333333333333,110.2,6.0,0.5288
14121,onsetproductions.com,3,2476566.0,1.0,105.7,82.0,0.6901500000000002
14122,edweek.org,3,15445.0,1.6,140.0,6676.0,0.755
