node_id,node,label,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate,feat_domain,labelf0,labelf1,labelf2,labelf3
7720,11thcircuitbusinessblog.com,3,0.6587109028196177,-0.3714913284979256,0.1257725304342527,-0.7626448226360582,0.2501178771417082,1,0,0,0,1
7721,drambedkarwritings.gov.in,3,0.8157342626888275,-0.5923783453428789,-0.1710018271591026,-0.7626448226360582,0.3269655132002592,1,0,0,0,1
7722,lomitachurch.org,3,0.7448523614399206,0.0457397033203191,0.283392402355784,-1.4180285518006548,-1.4709117397044411,1,0,0,0,1
7723,medcitynews.com,3,-1.144516346976517,-0.4696633359845716,-0.2483979097231361,1.3616640785820706,-0.0364225332781596,1,0,0,0,1
7724,odhikar.news,3,-1.46902440608861,4.500294543026875,3.21345731418958,0.9341562556705147,-1.847405584580442,1,0,0,0,1
7725,povcrystal.blogspot.com,3,1.0057037616963065,-0.5923783453428789,-0.8018932626583549,0.0099480541399266,1.1055690816384447,1,0,0,0,1
7726,mmajunkie.com,3,-0.0051317301134394,-0.3469483266262643,-0.5038457956034564,1.3082576522009124,0.4818522215353223,1,0,0,0,1
7727,tariqradio.com,3,0.5016249558547154,-0.5923783453428789,-1.15483286228223,-0.3731743778059671,-0.070378465490077,1,0,0,0,1
7728,feralcatfocus.org,3,0.2684644983906377,-0.5923783453428789,-0.3714064396707419,-0.6752049681392618,0.6248245676907658,1,0,0,0,1
7729,reviewed.com,3,-1.7049390550381014,-0.4083058313054178,-0.6143634958039834,1.221652545152644,0.8690689923729817,1,0,0,0,1
7730,illuminatiwatcher.com,3,-0.0712320372099523,0.0211967014486576,0.2221924793188418,0.5820336684474219,-0.012593808918919,1,0,0,0,1
7731,raymcgovern.com,3,0.7980999579452226,-0.5923783453428789,-0.3101747194675632,0.3623867371584345,0.2316506157632962,1,0,0,0,1
7732,wwd.com,3,-2.0335200614118696,-0.040160803230496,-0.3999727707271722,2.036365351049088,-0.1793948794336031,1,0,0,0,1
7733,jacolorado.org,3,0.9601419231391174,-0.5923783453428789,-1.9129785742768155,0.0416520721934064,-0.0066366278291089,1,0,0,0,1
7734,eroticmedia.com,3,-1.4909379762907653,1.002916776315116,0.8335753413026856,0.286588664953224,-3.247343140685825,1,0,0,0,1
7735,rebekahmhallberg.com,3,0.4176280196025624,-0.5923783453428789,-0.7856147402891285,-0.2099061904674766,1.8222179667426044,1,0,0,0,1
7736,ticaland.com,3,0.8346314296363738,1.861921841823268,0.4923273552508757,-1.0187658289236574,-1.0175702587698898,1,0,0,0,1
7737,allprodad.com,3,-0.8980872147215445,-0.5310208406637251,-0.7499799998675689,1.016548198944123,1.363515022827223,1,0,0,0,1
7738,deborahkobylt.com,3,0.7308373075094506,4.316222028989413,2.98750945135025,-0.8139673711340658,0.3043282250589805,1,0,0,0,1
7739,receptionmaps.com,3,0.8876487341767209,-0.5923783453428789,-0.7324344310888623,-0.8721520777498111,-1.7878337736823406,1,0,0,0,1
7740,kadermedia.com,3,0.9644963219128606,-0.5923783453428789,-0.7856147402891285,0.1055327819429782,0.636738929870386,1,0,0,0,1
7741,ballisticsbytheinch.com,3,0.1898432710057413,0.0211967014486576,-0.0492455983642683,0.4632652343688748,0.530701106471766,1,0,0,0,1
7742,kennedysandking.com,3,0.0554305559927698,0.6347717482401942,0.701697715024267,-0.3174725157133654,-0.6261834611693634,1,0,0,0,1
7743,therightstuffusa.wordpress.com,3,0.5235740085852457,0.0211967014486576,1.0845967137034331,-0.2380280788414171,0.6164845141650318,1,0,0,0,1
7744,thinkfreelymedia.org,3,0.915214373109164,0.0211967014486576,0.9696265639399718,-0.8721520777498111,0.3513899556684807,1,0,0,0,1
