source,target,weight
timeslive.co.za,news24.com,5600.0
biggovernment.news,biggovernment.news,0.5
roanoke.com,richmond.com,2500.0
mediazone.news,mediazone.news,0.5
theduran.com,russia-insider.com,1400.0
dailykos.com,rawstory.com,10500.0
dailywire.com,dailycaller.com,21500.0
deepstatenation.com,deepstatenation.com,0.5
newscientist.com,scientificamerican.com,23600.0
usadosenews.com,usadosenews.com,0.5
nautil.us,aeon.co,1500.0
mondoweiss.net,electronicintifada.net,3000.0
mintpressnews.com,consortiumnews.com,2500.0
metro.co.uk,express.co.uk,14900.0
defund.com,defund.com,0.5
timescolonist.com,vancouversun.com,9900.0
legalinsurrection.com,judicialwatch.org,3100.0
unclesamsmisguidedchildren.com,madworldnews.com,451.0
truthrevolt.org,frontpagemag.com,6300.0
newsmax.com,dailycaller.com,21500.0
atimes.com,thediplomat.com,3600.0
weforum.org,economist.com,40000.0
consortiumnews.com,strategic-culture.org,1300.0
express.co.uk,mirror.co.uk,26500.0
frc.org,lifenews.com,3400.0
globalnews.ca,thestar.com,20100.0
religionnews.com,christianitytoday.com,8700.0
theaustralian.com.au,dailytelegraph.com.au,6000.0
theguardian.com,cnn.com,153500.0
pluralist.com,bigleaguepolitics.com,172.0
morningconsult.com,gallup.com,13700.0
mises.org,cato.org,7900.0
freebeacon.com,pjmedia.com,3100.0
rawstory.com,dailykos.com,15300.0
pjmedia.com,freebeacon.com,4200.0
680news.com,torontosun.com,7400.0
theodysseyonline.com,buzzfeed.com,33900.0
redstate.com,townhall.com,9400.0
consmovement.com,consmovement.com,0.5
salon.com,politico.com,22200.0
lifesitenews.com,churchmilitant.com,487.0
newshounds.us,crooksandliars.com,5800.0
currentaffairs.org,thebaffler.com,981.0
thepublicdiscourse.com,lifesitenews.com,3700.0
metro.co.uk,mirror.co.uk,26500.0
nydailynews.com,thedailybeast.com,25000.0
kentucky.com,courier-journal.com,5000.0
democracyguardian.com,reverbpress.com,271.0
fastcompany.com,techcrunch.com,32500.0
al-monitor.com,middleeastmonitor.com,512.0
metro.us,amny.com,2100.0
babylonbee.com,dailywire.com,1600.0
theproudliberal.org,theproudliberal.org,0.5
judicialwatch.org,legalinsurrection.com,1600.0
news.sky.com,mirror.co.uk,27200.0
washingtonblade.com,advocate.com,4600.0
alternet.org,salon.com,35800.0
aeon.co,quantamagazine.org,192.0
techxplore.com,nextbigfuture.com,1500.0
news.abs-cbn.com,rappler.com,9500.0
theintercept.com,jacobinmag.com,690.0
capoliticalreview.com,calwatchdog.com,362.0
russia-insider.com,unz.com,6200.0
euronews.com,sputniknews.com,5900.0
emirates247.com,gulfnews.com,8300.0
theblacksphere.net,independentsentinel.com,1800.0
bigthink.com,scientificamerican.com,23600.0
itsgoingdown.org,antifascistnews.net,17.0
democracynow.org,truthdig.com,4900.0
ahtribune.com,strategic-culture.org,1300.0
freakoutnation.com,freakoutnation.com,0.5
occupydemocrats.com,bluedotdaily.com,39.0
techcrunch.com,theverge.com,19600.0
breitbart.com,drudgereport.com,7000.0
bipartisanpolicy.org,fairus.org,949.0
100percentfedup.com,ilovemyfreedom.org,95.0
bitchmedia.org,everydayfeminism.com,1700.0
informationliberation.com,bigleaguepolitics.com,173.0
againstcronycapitalism.org,againstcronycapitalism.org,0.5
bizpacreview.com,thegatewaypundit.com,3200.0
libertyhangout.org,americanmilitarynews.com,2900.0
empirenews.net,worldnewsdailyreport.com,971.0
fusion.kinja.com,splinternews.com,255.0
yellowhammernews.com,alreporter.com,185.0
thebaffler.com,currentaffairs.org,151.0
thesun.co.uk,express.co.uk,14900.0
samuel-warde.com,resistancereport.com,71.0
foreignaffairs.com,thediplomat.com,3500.0
occupydemocrats.com,bipartisanreport.com,373.0
polygraph.info,uawire.org,218.0
thelondoneconomic.com,lbc.co.uk,902.0
democraticreview.com,democraticreview.com,0.5
theduran.com,consortiumnews.com,2500.0
thedailymash.co.uk,newsthump.com,369.0
conservativehq.com,libertynation.com,74.0
renewamerica.com,onenewsnow.com,2000.0
newsmax.com,theblaze.com,8100.0
sonsoflibertymedia.com,freedomoutpost.com,1200.0
squawker.org,magapill.com,287.0
people.com,dailymail.co.uk,101900.0
fair.org,consortiumnews.com,2500.0
informationliberation.com,theamericanmirror.com,736.0
ibleedredwhiteblue.com,ibleedredwhiteblue.com,0.5
migrationpolicy.org,cis.org,1700.0
newsmax.com,breitbart.com,36000.0
leftoverrights.com,leftoverrights.com,0.5
auburnpub.com,cityandstateny.com,403.0
ibtimes.com,inquisitr.com,13400.0
teaparty.org,bigleaguepolitics.com,172.0
mediaequalizer.com,ilovemyfreedom.org,95.0
politicalsitenews.com,politicalsitenews.com,0.5
washingtonexaminer.com,dailycaller.com,21500.0
deadspin.com,splinternews.com,253.0
lewrockwell.com,unz.com,6200.0
bearingarms.com,ammoland.com,4400.0
thesun.co.uk,mirror.co.uk,26500.0
truth-out.org,therealnews.com,2300.0
nationalmemo.com,shareblue.com,183.0
usatoday.com,businessinsider.com,58900.0
yesimright.com,usasupreme.com,50.0
ifyouonlynews.com,proudemocrat.com,16.0
thelondoneconomic.com,newsthump.com,377.0
aclj.org,lifenews.com,3400.0
thewhim.com,thewhim.com,0.5
slate.com,thehill.com,17500.0
antifascistnews.net,itsgoingdown.org,97.0
researchantisemitism.ca,researchantisemitism.ca,0.5
teddystick.com,teddystick.com,0.5
news.trust.org,theamericanmirror.com,736.0
prospect.org,epi.org,3300.0
dailymail.co.uk,mirror.co.uk,26500.0
chicksontheright.com,chicksontheright.com,0.5
bearingarms.com,guns.com,1300.0
jacobinmag.com,theintercept.com,308.0
tampabay.com,orlandosentinel.com,11100.0
lifenews.com,lifesitenews.com,3600.0
trofire.com,talkingpointsmemo.com,10200.0
wionews.com,republicworld.com,190.0
detroitnews.com,mlive.com,13400.0
ips-dc.org,cbpp.org,3100.0
euobserver.com,euractiv.com,3800.0
washingtonexaminer.com,politico.com,21700.0
takimag.com,unz.com,6200.0
yellowhammernews.com,altoday.com,109.0
nationalreview.com,dailycaller.com,21500.0
vox.com,thehill.com,17100.0
hoover.org,amgreatness.com,164.0
monthlyreview.org,marxist.com,1300.0
barenakedislam.com,jihadwatch.org,3700.0
consortiumnews.com,truthdig.com,4900.0
thenewamerican.com,americanthinker.com,6900.0
wnd.com,breitbart.com,36000.0
fairus.org,migrationpolicy.org,1500.0
americanmilitarynews.com,thefederalistpapers.org,687.0
leadstories.com,huzlers.com,216.0
theblaze.com,dailycaller.com,21500.0
dailysignal.com,townhall.com,9400.0
redstate.com,twitchy.com,1800.0
undergroundjournalist.org,undergroundjournalist.org,0.5
redstate.com,dailywire.com,1600.0
theamericanmirror.com,pjmedia.com,3100.0
viraltitle.com,viraltitle.com,0.5
businessinsider.com,usatoday.com,72800.0
now8news.com,notallowedto.com,53.0
offendedamerica.com,offendedamerica.com,0.5
ctvnews.ca,globalnews.ca,6800.0
realclearpolitics.com,politico.com,21700.0
npr.org,vox.com,18900.0
harvardpolitics.com,harvardpolitics.com,0.5
mintpressnews.com,strategic-culture.org,1300.0
thinkprogress.org,talkingpointsmemo.com,10200.0
shareblue.com,washingtonpress.com,110.0
pgpf.org,crfb.org,749.0
newsuptoday.com,newsuptoday.com,0.5
theamericanconservative.com,nationalreview.com,15400.0
hermancain.com,canadafreepress.com,3300.0
nationalmemo.com,crooksandliars.com,5900.0
aclj.org,afa.net,1700.0
newsbusters.org,theamericanmirror.com,722.0
opendemocracy.net,jacobinmag.com,690.0
duhprogressive.com,duhprogressive.com,0.5
babylonbee.com,americanthinker.com,6900.0
theonion.com,clickhole.com,611.0
boingboing.net,thehill.com,17500.0
abriluno.com,abriluno.com,0.5
msnbc.com,thehill.com,17100.0
aeon.co,nautil.us,2800.0
newsthump.com,thedailymash.co.uk,1000.0
politifeed.net,usasupreme.com,50.0
newsheist.com,newsheist.com,0.5
newsandstoriesfromusa.com,newsandstoriesfromusa.com,0.5
scotsman.com,dailyrecord.co.uk,5800.0
thenewamerican.com,cnsnews.com,7400.0
ahtribune.com,ronpaulinstitute.org,1200.0
louderwithcrowder.com,twitchy.com,1800.0
worldnewsdailyreport.com,leadstories.com,147.0
clickhole.com,thehardtimes.net,223.0
voiceofeurope.com,jihadwatch.org,3700.0
electronicintifada.net,middleeastmonitor.com,512.0
talkingpointsmemo.com,thinkprogress.org,13100.0
heritage.org,dailysignal.com,2400.0
newromantimes.com,newromantimes.com,0.5
dcclothesline.com,libertyunyielding.com,345.0
libertyunyielding.com,conservativefiringline.com,197.0
truthuncensored.net,vote.us.org,59.0
newyorker.com,politico.com,21700.0
quantamagazine.org,nautil.us,2800.0
rewire.news,religionnews.com,2500.0
azcentral.com,usatoday.com,74600.0
libertynation.com,thewashingtonstandard.com,215.0
aljazeera.com,jpost.com,14900.0
dailykos.com,thinkprogress.org,13100.0
desmogblog.com,insideclimatenews.org,1000.0
rightalerts.com,rightalerts.com,0.5
newyorker.com,theatlantic.com,45000.0
girlsjustwannahaveguns.com,clashdaily.com,625.0
theguardiansofdemocracy.com,shareblue.com,181.0
weeklystandard.com,washingtonexaminer.com,8900.0
vdare.com,amren.com,1200.0
sojo.net,baptistnews.com,135.0
democraticunderground.com,rawstory.com,10500.0
alphanewsmn.com,independentsentinel.com,1800.0
sojo.net,religionnews.com,2500.0
adelaidenow.com.au,theaustralian.com.au,10900.0
futureinamerica.com,futureinamerica.com,0.5
news.abs-cbn.com,inquirer.net,23400.0
journalstar.com,omaha.com,4200.0
